interval_begin_s,interval_end_s,interval_begin_hhmm,edge_id,speed_mean_ms,speed_min_ms,speed_max_ms,speed_std_ms,density_mean_vkl,density_min_vkl,density_max_vkl,density_std_vkl,n_runs
36000.0,36900.0,10:00,1315301899#0,13.4800,13.3600,13.6000,0.1697,0.3300,0.3300,0.3300,0.0000,2
36000.0,36900.0,10:00,1315301901,8.1050,7.6000,8.6100,0.7142,0.4150,0.3900,0.4400,0.0354,2
36000.0,36900.0,10:00,134063971,8.8900,8.6200,9.1600,0.3818,0.6250,0.6100,0.6400,0.0212,2
36000.0,36900.0,10:00,134063977#2,11.1100,11.1100,11.1100,0.0000,0.1000,0.1000,0.1000,0.0000,2
36000.0,36900.0,10:00,134136443,7.9700,7.4700,8.4700,0.7071,0.2800,0.2600,0.3000,0.0283,2
36000.0,36900.0,10:00,134411713#0,9.1250,8.8300,9.4200,0.4172,0.4850,0.4700,0.5000,0.0212,2
36000.0,36900.0,10:00,134411713#2,9.1250,8.8300,9.4200,0.4172,0.4850,0.4700,0.5000,0.0212,2
36000.0,36900.0,10:00,1361717374#2,8.8900,8.6300,9.1500,0.3677,0.6250,0.6100,0.6400,0.0212,2
36000.0,36900.0,10:00,1364018960,12.5800,12.0000,13.1600,0.8202,0.5350,0.5100,0.5600,0.0354,2
36000.0,36900.0,10:00,13715475#0,8.9650,8.6900,9.2400,0.3889,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,137355170,8.5100,7.6900,9.3300,1.1597,0.1300,0.1200,0.1400,0.0141,2
36000.0,36900.0,10:00,1386311796#1,13.5450,13.2000,13.8900,0.4879,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,14135257#0,12.4450,12.4300,12.4600,0.0212,0.4500,0.4500,0.4500,0.0000,2
36000.0,36900.0,10:00,14135257#1,12.4450,12.4300,12.4600,0.0212,0.4500,0.4500,0.4500,0.0000,2
36000.0,36900.0,10:00,14135257#2,12.4450,12.4300,12.4600,0.0212,0.4500,0.4500,0.4500,0.0000,2
36000.0,36900.0,10:00,14135257#3,12.4450,12.4300,12.4600,0.0212,0.4500,0.4500,0.4500,0.0000,2
36000.0,36900.0,10:00,1424789403#0,9.0050,8.9200,9.0900,0.1202,0.4950,0.4900,0.5000,0.0071,2
36000.0,36900.0,10:00,1424789403#1,9.0050,8.9200,9.0900,0.1202,0.4950,0.4900,0.5000,0.0071,2
36000.0,36900.0,10:00,1424789406#0,12.9300,11.9700,13.8900,1.3576,0.0850,0.0800,0.0900,0.0071,2
36000.0,36900.0,10:00,14306575,12.3850,11.9800,12.7900,0.5728,0.1800,0.1700,0.1900,0.0141,2
36000.0,36900.0,10:00,161182809,9.1450,9.0000,9.2900,0.2051,0.6100,0.6000,0.6200,0.0141,2
36000.0,36900.0,10:00,16312517,11.4100,10.0500,12.7700,1.9233,0.1000,0.0900,0.1100,0.0141,2
36000.0,36900.0,10:00,230820329#0,8.0550,7.8700,8.2400,0.2616,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,230820329#1,8.0550,7.8700,8.2400,0.2616,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,230820329#2,8.0550,7.8700,8.2400,0.2616,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,230834613#0,9.2250,8.4600,9.9900,1.0819,0.1200,0.1100,0.1300,0.0141,2
36000.0,36900.0,10:00,230834613#1,9.2250,8.4600,9.9900,1.0819,0.1200,0.1100,0.1300,0.0141,2
36000.0,36900.0,10:00,230834613#2,9.2250,8.4600,9.9900,1.0819,0.1200,0.1100,0.1300,0.0141,2
36000.0,36900.0,10:00,230834615,13.5150,13.1400,13.8900,0.5303,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,236455763#1,9.1250,8.8100,9.4400,0.4455,0.6100,0.5900,0.6300,0.0283,2
36000.0,36900.0,10:00,2534525#0,9.0950,8.8900,9.3000,0.2899,0.2450,0.2400,0.2500,0.0071,2
36000.0,36900.0,10:00,2534525#1,8.8650,8.8300,8.9000,0.0495,0.3750,0.3700,0.3800,0.0071,2
36000.0,36900.0,10:00,2534525#2,8.7000,8.5100,8.8900,0.2687,0.2550,0.2500,0.2600,0.0071,2
36000.0,36900.0,10:00,2534525#3,8.5600,8.3300,8.7900,0.3253,0.3900,0.3800,0.4000,0.0141,2
36000.0,36900.0,10:00,2535038#0,13.8900,13.8900,13.8900,0.0000,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,2535038#1,13.8900,13.8900,13.8900,0.0000,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,2535038#2,13.8900,13.8900,13.8900,0.0000,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,2535039#0,8.3500,8.3100,8.3900,0.0566,0.5300,0.5300,0.5300,0.0000,2
36000.0,36900.0,10:00,2535114#2,13.1150,12.5500,13.6800,0.7990,0.0850,0.0800,0.0900,0.0071,2
36000.0,36900.0,10:00,2535114#3,13.1100,12.5500,13.6700,0.7920,0.0850,0.0800,0.0900,0.0071,2
36000.0,36900.0,10:00,2535115#0,8.5100,8.2500,8.7700,0.3677,1.0450,1.0100,1.0800,0.0495,2
36000.0,36900.0,10:00,2535350#1,9.0500,8.5200,9.5800,0.7495,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,2535350#2,9.1450,8.6500,9.6400,0.7000,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,2535381#0,8.6600,8.5700,8.7500,0.1273,0.2550,0.2500,0.2600,0.0071,2
36000.0,36900.0,10:00,2535382#0,9.1450,8.6500,9.6400,0.7000,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,2535383#1,14.2900,14.2900,14.2900,0.0000,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,2535383#2,13.8900,13.8900,13.8900,0.0000,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,2541828#0,12.1700,11.2700,13.0700,1.2728,0.1850,0.1700,0.2000,0.0212,2
36000.0,36900.0,10:00,2541828#1,12.1700,11.2800,13.0600,1.2587,0.1850,0.1700,0.2000,0.0212,2
