camera,date,time,timestamp,car,motorcycle,bus,truck,total,filepath
CM_A69A1,2025-04-01,14:01:14,2025-04-01 14:01:14,2,0,0,0,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-140114.jpg
CM_A69A1,2025-04-01,14:11:05,2025-04-01 14:11:05,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-141105.jpg
CM_A69A1,2025-04-01,14:16:08,2025-04-01 14:16:08,8,0,0,0,8,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-141608.jpg
CM_A69A1,2025-04-01,14:25:17,2025-04-01 14:25:17,9,0,0,1,10,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-142517.jpg
CM_A69A1,2025-04-01,14:30:45,2025-04-01 14:30:45,2,0,0,0,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-143045.jpg
CM_A69A1,2025-04-01,14:36:18,2025-04-01 14:36:18,9,0,0,0,9,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-143618.jpg
CM_A69A1,2025-04-01,14:46:26,2025-04-01 14:46:26,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-144626.jpg
CM_A69A1,2025-04-01,14:55:39,2025-04-01 14:55:39,3,0,0,0,3,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-145539.jpg
CM_A69A1,2025-04-01,15:01:10,2025-04-01 15:01:10,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-150110.jpg
CM_A69A1,2025-04-01,15:10:38,2025-04-01 15:10:38,3,1,0,0,4,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-151038.jpg
CM_A69A1,2025-04-01,15:16:15,2025-04-01 15:16:15,8,0,0,0,8,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-151615.jpg
CM_A69A1,2025-04-01,15:26:25,2025-04-01 15:26:25,7,0,0,0,7,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-152625.jpg
CM_A69A1,2025-04-01,15:36:20,2025-04-01 15:36:20,11,0,0,0,11,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-153620.jpg
CM_A69A1,2025-04-01,15:46:22,2025-04-01 15:46:22,5,0,0,1,6,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-154622.jpg
CM_A69A1,2025-04-01,15:55:32,2025-04-01 15:55:32,4,0,0,0,4,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-155532.jpg
CM_A69A1,2025-04-01,16:01:07,2025-04-01 16:01:07,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-160107.jpg
CM_A69A1,2025-04-01,16:06:28,2025-04-01 16:06:28,5,0,0,0,5,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-160628.jpg
CM_A69A1,2025-04-01,16:16:14,2025-04-01 16:16:14,6,0,0,0,6,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-161614.jpg
CM_A69A1,2025-04-01,16:25:59,2025-04-01 16:25:59,7,0,0,0,7,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-162559.jpg
CM_A69A1,2025-04-01,16:31:14,2025-04-01 16:31:14,1,0,0,1,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-163114.jpg
CM_A69A1,2025-04-01,16:36:36,2025-04-01 16:36:36,4,0,1,0,5,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-163636.jpg
CM_A69A1,2025-04-01,16:46:25,2025-04-01 16:46:25,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-164625.jpg
CM_A69A1,2025-04-01,16:56:21,2025-04-01 16:56:21,3,0,1,0,4,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-165621.jpg
CM_A69A1,2025-04-01,17:06:42,2025-04-01 17:06:42,2,0,0,0,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-170642.jpg
